job_role,experience_years,skill_level,education_level,industry,region,recommended_assessment
UX Designer,5,High,Bachelors,Finance,North America,Personality
Product Manager,3,High,Masters,Customer Service,Australia,Cognitive Ability
Sales Manager,7,Low,High School,Design,North America,Behavioral
Data Analyst,3,Medium,Masters,Marketing,Australia,Cognitive Ability
Customer Support,1,Medium,Masters,Marketing,Asia,Personality
Customer Support,8,Low,Bachelors,Design,Asia,Personality
UX Designer,10,Medium,Masters,Marketing,Australia,Personality
HR Executive,2,Medium,Bachelors,Design,North America,Personality
Sales Manager,1,High,High School,Customer Service,North America,Behavioral
Sales Manager,9,High,Masters,HR,Asia,Behavioral
Business Analyst,5,Low,High School,Design,Asia,Cognitive Ability
Finance Associate,1,Medium,Bachelors,Finance,Asia,Behavioral
Business Analyst,8,Low,High School,Customer Service,Asia,Cognitive Ability
Sales Manager,4,High,Bachelors,Marketing,Australia,Behavioral
Marketing Manager,5,Medium,High School,Customer Service,Asia,Behavioral
Business Analyst,7,High,Masters,Finance,Asia,Cognitive Ability
Data Analyst,9,Low,Bachelors,HR,North America,Cognitive Ability
Marketing Manager,8,Low,Masters,Technology,North America,Behavioral
Product Manager,6,Medium,Bachelors,Marketing,Australia,Cognitive Ability
Sales Manager,10,Medium,Bachelors,Design,Europe,Behavioral
Sales Manager,8,High,Bachelors,Technology,Asia,Behavioral
Customer Support,10,High,Bachelors,HR,Asia,Personality
Business Analyst,7,Medium,High School,Marketing,Australia,Cognitive Ability
HR Executive,5,Medium,Masters,Marketing,Asia,Personality
HR Executive,1,Medium,High School,Marketing,Australia,Personality
Sales Manager,4,Low,Bachelors,Design,Asia,Behavioral
Finance Associate,7,High,Bachelors,HR,Australia,Behavioral
Customer Support,5,Medium,Masters,HR,Asia,Personality
Sales Manager,5,Medium,Bachelors,Marketing,North America,Behavioral
Business Analyst,4,Medium,High School,Customer Service,North America,Cognitive Ability
Data Analyst,8,High,Masters,Customer Service,Australia,Cognitive Ability
HR Executive,4,High,Bachelors,HR,Europe,Personality
Business Analyst,4,Low,High School,Customer Service,North America,Cognitive Ability
Product Manager,7,High,Masters,Customer Service,Asia,Cognitive Ability
Marketing Manager,10,Medium,High School,Finance,Europe,Behavioral
HR Executive,3,High,High School,Marketing,Australia,Personality
Product Manager,3,High,High School,Marketing,Asia,Cognitive Ability
Software Engineer,6,Medium,Masters,Design,Europe,Cognitive Ability
Product Manager,10,High,Masters,Marketing,North America,Cognitive Ability
Marketing Manager,4,Medium,Bachelors,Design,Australia,Behavioral
Product Manager,5,Low,Bachelors,Finance,Asia,Cognitive Ability
Marketing Manager,2,High,Bachelors,Marketing,North America,Behavioral
Sales Manager,2,High,Bachelors,Marketing,Europe,Behavioral
HR Executive,1,Medium,Masters,Finance,Asia,Personality
HR Executive,1,Low,Masters,Technology,Australia,Personality
UX Designer,3,Low,Bachelors,Design,North America,Personality
Finance Associate,10,Medium,High School,Technology,Australia,Behavioral
Business Analyst,10,Medium,Bachelors,Design,North America,Cognitive Ability
HR Executive,1,High,High School,HR,Asia,Personality
Product Manager,1,High,Bachelors,Marketing,Europe,Cognitive Ability
UX Designer,6,Medium,Bachelors,Technology,North America,Personality
Business Analyst,6,Low,High School,Finance,Asia,Cognitive Ability
Data Analyst,7,Low,Bachelors,Design,Asia,Cognitive Ability
Product Manager,7,High,Bachelors,Marketing,Australia,Cognitive Ability
Marketing Manager,9,Low,Bachelors,Design,Australia,Behavioral
Business Analyst,9,Medium,Bachelors,Design,Asia,Cognitive Ability
Marketing Manager,2,Medium,High School,Design,Australia,Behavioral
Marketing Manager,5,High,Bachelors,Technology,North America,Behavioral
UX Designer,5,Low,Bachelors,Finance,Australia,Personality
Sales Manager,1,Low,High School,HR,Asia,Behavioral
UX Designer,5,High,Masters,Marketing,Australia,Personality
Marketing Manager,4,Low,Masters,Design,Asia,Behavioral
Product Manager,7,Low,Bachelors,Marketing,Australia,Cognitive Ability
Product Manager,3,Medium,Bachelors,Customer Service,Europe,Cognitive Ability
Marketing Manager,8,Low,High School,Customer Service,Australia,Behavioral
HR Executive,5,Medium,Masters,Technology,North America,Personality
UX Designer,7,Medium,Bachelors,Marketing,Asia,Personality
Sales Manager,7,Low,High School,Technology,North America,Behavioral
Sales Manager,2,High,Bachelors,Finance,North America,Behavioral
Marketing Manager,8,High,Masters,Finance,North America,Behavioral
HR Executive,1,High,Bachelors,Technology,Australia,Personality
Sales Manager,6,High,Bachelors,HR,Europe,Behavioral
Marketing Manager,2,Low,High School,Customer Service,Australia,Behavioral
Finance Associate,7,High,Masters,Finance,Australia,Behavioral
HR Executive,6,High,High School,Marketing,Australia,Personality
Software Engineer,8,Low,Bachelors,Design,Asia,Cognitive Ability
HR Executive,10,Low,Masters,Customer Service,North America,Personality
UX Designer,6,Low,Bachelors,Finance,North America,Personality
Finance Associate,6,High,Bachelors,Technology,Asia,Behavioral
Business Analyst,5,High,Bachelors,Marketing,North America,Cognitive Ability
Business Analyst,4,Low,High School,Finance,North America,Cognitive Ability
Product Manager,10,Medium,High School,Design,Europe,Cognitive Ability
Software Engineer,6,Low,Bachelors,Customer Service,North America,Cognitive Ability
Data Analyst,3,Medium,Bachelors,Technology,Europe,Cognitive Ability
UX Designer,6,Medium,High School,Customer Service,Asia,Personality
Data Analyst,7,Low,Masters,Finance,North America,Cognitive Ability
Product Manager,1,High,Masters,Technology,Europe,Cognitive Ability
Business Analyst,2,Low,Masters,Finance,North America,Cognitive Ability
Finance Associate,3,Low,High School,Finance,Asia,Behavioral
Software Engineer,10,Medium,Bachelors,Finance,Australia,Cognitive Ability
Business Analyst,3,High,Masters,Technology,Asia,Cognitive Ability
Finance Associate,2,Medium,Bachelors,Design,North America,Behavioral
UX Designer,6,High,Masters,Marketing,Australia,Personality
Data Analyst,1,High,Bachelors,HR,North America,Cognitive Ability
Sales Manager,8,High,High School,Design,North America,Behavioral
Finance Associate,6,Low,Bachelors,Finance,Europe,Behavioral
Finance Associate,1,Low,Masters,Marketing,Europe,Behavioral
Software Engineer,9,High,Masters,Marketing,Australia,Cognitive Ability
Customer Support,10,Low,Bachelors,Customer Service,Asia,Personality
UX Designer,7,Medium,Bachelors,HR,Australia,Personality
Product Manager,3,Low,Bachelors,HR,Europe,Cognitive Ability
Software Engineer,10,Low,Bachelors,Design,Australia,Cognitive Ability
Product Manager,5,Medium,Bachelors,Technology,Asia,Cognitive Ability
Data Analyst,6,Low,Masters,Marketing,Asia,Cognitive Ability
Marketing Manager,1,Low,Bachelors,Design,North America,Behavioral
Customer Support,3,Medium,Masters,Technology,Australia,Personality
HR Executive,1,Medium,Bachelors,Design,Europe,Personality
UX Designer,7,Medium,Masters,Marketing,Asia,Personality
UX Designer,1,Low,Masters,Design,North America,Personality
Customer Support,4,Low,Bachelors,Finance,Europe,Personality
Finance Associate,1,Low,High School,Technology,North America,Behavioral
Marketing Manager,10,High,Bachelors,Customer Service,North America,Behavioral
HR Executive,10,High,Bachelors,Technology,Australia,Personality
Business Analyst,4,High,Bachelors,Finance,Europe,Cognitive Ability
Sales Manager,4,Low,Masters,Technology,North America,Behavioral
Software Engineer,5,Medium,High School,Finance,North America,Cognitive Ability
UX Designer,9,High,Bachelors,Design,North America,Personality
Software Engineer,2,Medium,Masters,Marketing,Europe,Cognitive Ability
Marketing Manager,8,High,Masters,Finance,Europe,Behavioral
UX Designer,2,Low,Bachelors,Marketing,Asia,Personality
Software Engineer,5,Medium,Masters,Marketing,Europe,Cognitive Ability
Business Analyst,10,Low,Masters,Design,Australia,Cognitive Ability
UX Designer,3,Low,High School,HR,Europe,Personality
Customer Support,4,High,Bachelors,Marketing,Europe,Personality
Data Analyst,9,Low,Masters,Design,Asia,Cognitive Ability
Customer Support,6,Low,Masters,Marketing,North America,Personality
Sales Manager,6,Medium,Masters,Finance,Asia,Behavioral
Finance Associate,7,High,Masters,Marketing,North America,Behavioral
HR Executive,1,Medium,Masters,Customer Service,North America,Personality
Customer Support,3,Medium,High School,HR,North America,Personality
HR Executive,4,Low,Masters,Technology,Europe,Personality
Finance Associate,5,High,Bachelors,Finance,Europe,Behavioral
UX Designer,3,High,Bachelors,HR,Asia,Personality
Finance Associate,8,Low,Masters,HR,Europe,Behavioral
Product Manager,2,Medium,Bachelors,Technology,Europe,Cognitive Ability
Marketing Manager,5,High,Bachelors,Finance,Asia,Behavioral
Customer Support,7,High,Bachelors,Marketing,Asia,Personality
Marketing Manager,4,Low,Bachelors,Finance,Australia,Behavioral
UX Designer,2,High,Masters,Customer Service,Asia,Personality
Sales Manager,2,Medium,High School,Technology,North America,Behavioral
UX Designer,6,High,Bachelors,Finance,Asia,Personality
HR Executive,1,Medium,Bachelors,Customer Service,Europe,Personality
Finance Associate,1,High,Bachelors,Technology,Australia,Behavioral
Business Analyst,7,Medium,Bachelors,Technology,Europe,Cognitive Ability
Sales Manager,2,High,Bachelors,Technology,Asia,Behavioral
UX Designer,6,High,High School,Customer Service,Australia,Personality
Customer Support,9,High,Bachelors,Design,Europe,Personality
Software Engineer,6,High,Masters,Customer Service,North America,Cognitive Ability
Business Analyst,2,High,Bachelors,Marketing,Australia,Cognitive Ability
Marketing Manager,2,Medium,High School,HR,North America,Behavioral
Customer Support,4,High,Bachelors,Technology,Europe,Personality
Software Engineer,6,High,Bachelors,Technology,North America,Cognitive Ability
Software Engineer,2,Low,Bachelors,Technology,Asia,Cognitive Ability
Sales Manager,2,Low,High School,Finance,Australia,Behavioral
Data Analyst,10,High,Masters,Technology,Asia,Cognitive Ability
Product Manager,6,High,Bachelors,Marketing,Europe,Cognitive Ability
Sales Manager,6,Medium,Masters,Design,Europe,Behavioral
Software Engineer,1,High,Bachelors,Customer Service,North America,Cognitive Ability
Business Analyst,10,Medium,High School,Marketing,Australia,Cognitive Ability
Finance Associate,9,High,Bachelors,Design,Asia,Behavioral
Business Analyst,4,Low,Masters,Marketing,Australia,Cognitive Ability
Product Manager,4,High,Masters,Customer Service,Europe,Cognitive Ability
Finance Associate,6,High,Masters,HR,Europe,Behavioral
Finance Associate,7,Medium,Masters,HR,North America,Behavioral
UX Designer,8,Low,High School,Customer Service,Asia,Personality
Software Engineer,6,Medium,Bachelors,Technology,Europe,Cognitive Ability
Finance Associate,2,High,Bachelors,HR,Australia,Behavioral
Finance Associate,1,High,Bachelors,Technology,Europe,Behavioral
Business Analyst,1,Medium,Masters,Finance,Europe,Cognitive Ability
Data Analyst,7,High,High School,Marketing,North America,Cognitive Ability
Finance Associate,1,High,High School,Customer Service,Asia,Behavioral
HR Executive,8,Medium,Bachelors,Customer Service,Australia,Personality
Product Manager,8,High,Bachelors,HR,North America,Cognitive Ability
Data Analyst,10,High,Bachelors,Finance,Asia,Cognitive Ability
Sales Manager,3,Medium,Bachelors,HR,North America,Behavioral
Marketing Manager,8,High,Bachelors,Marketing,Australia,Behavioral
Marketing Manager,1,Low,Masters,HR,Australia,Behavioral
HR Executive,10,Low,Masters,Design,Australia,Personality
Sales Manager,6,Medium,High School,Design,Australia,Behavioral
Data Analyst,8,High,Bachelors,Marketing,North America,Cognitive Ability
Data Analyst,9,Low,Bachelors,Technology,Australia,Cognitive Ability
Software Engineer,8,High,Masters,Technology,North America,Cognitive Ability
Business Analyst,5,Low,Bachelors,Customer Service,Europe,Cognitive Ability
Data Analyst,9,Medium,High School,Customer Service,Asia,Cognitive Ability
HR Executive,9,Medium,Bachelors,Design,Australia,Personality
Marketing Manager,6,Low,Bachelors,Technology,Europe,Behavioral
Marketing Manager,7,Medium,Bachelors,Marketing,Australia,Behavioral
UX Designer,5,Low,Bachelors,Customer Service,Europe,Personality
Product Manager,5,Low,High School,HR,Asia,Cognitive Ability
Business Analyst,7,Medium,High School,Customer Service,Asia,Cognitive Ability
Business Analyst,9,Low,Masters,Technology,Europe,Cognitive Ability
Customer Support,2,Medium,High School,Design,Australia,Personality
Sales Manager,4,Low,High School,HR,Europe,Behavioral
HR Executive,5,High,Masters,Marketing,North America,Personality
Business Analyst,1,Medium,Masters,Design,Europe,Cognitive Ability
Data Analyst,10,Medium,High School,Technology,North America,Cognitive Ability
Business Analyst,4,High,Bachelors,Finance,North America,Cognitive Ability
Business Analyst,2,Medium,Bachelors,Marketing,North America,Cognitive Ability
Finance Associate,4,Medium,Bachelors,Customer Service,Australia,Behavioral
Sales Manager,3,Low,Bachelors,Technology,North America,Behavioral
